image_id,det_category,tp_pixels,fp_pixels,fn_pixels,tn_pixels
013_gsv_00_jpg.rf.8239ca8fd1e9b4c8602c307b3c50987c.jpg,TP,15324,316,502,393458
154_web_00_jpg.rf.fadf4851273ccc77e05f0c237d8923b6.jpg,TP,27129,3105,108773,825593
108_jpg.rf.ea96875fec23970f64f11a1d4abc1630.jpg,TN,0,0,0,1093120
133_gsv_00_jpg.rf.d65f791083d8eb7b2d8abd3889968eeb.jpg,TP,15824,705,220,392851
24_jpg.rf.6395eabb21a76bd4e8847ffe81b4f176.jpg,TN,0,0,0,1513000
2102_2365002_037nopv_jpg.rf.2a9344072bd355354e18e8598ccdc5cc.jpg,TN,0,0,0,409600
155_gsv_00_jpg.rf.669afb28197961031f1754ff90017b79.jpg,TP,13446,316,26428,369410
106_jpg.rf.dd1fd2aa52a43e7cceb2910d51cd37b5.jpg,TN,0,0,0,360640
2217_2370864_075nopv_jpg.rf.4636d48c31413a6db0ae2a630de6c313.jpg,TN,0,0,0,409600
62_jpg.rf.cbcb1284731131484ca93e50ea39f327.jpg,TN,0,0,0,392000
116_jpg.rf.a33cd9f96cff07732893d1b928142333.jpg,TN,0,0,0,1294076
487_154272_275nopv_jpg.rf.bcc2edf6b80cd95644260f4d8352ea8d.jpg,TN,0,0,0,409600
2_140058_141nopv_jpg.rf.73a67f48507fb3a9048d2a5876cee29c.jpg,TN,0,0,0,409600
014_web_00_jpg.rf.a1a8b04b70168eea1c54286091ed42ba.jpg,TP,13751,1548,5315,413786
315_web_03_jpg.rf.fd4c5dd7a9158604e13595b63c4df14f.jpg,TP,5716,501,240701,911922
2129_2365963_047nopv_jpg.rf.39abe3e7ce556a218b82d6810869dfa8.jpg,TN,0,0,0,409600
496_154381_277nopv_jpg.rf.77f34ca8613da7b9d158dc2b79a7d2b4.jpg,TN,0,0,0,409600
15_jpg.rf.942b5e104ffaeb86f129bdc3fec5d0e0.jpg,TN,0,0,0,280900
315_web_04_jpg.rf.57ac3182e1b9aa96ca60e3f10e7c1e22.jpg,TP,101327,1329,29160,1018212
54_jpg.rf.55edd6cf875d428eafff650aef60c25e.jpg,FP,0,3219,0,578941
090_web_00_jpg.rf.586e66c5a6dd0bf0dd36a26670e95252.jpg,TP,61222,72,342494,1096212
210_web_00_jpg.rf.48dc7fa52c609dba8f8b836a32d14386.jpg,FN,0,0,33536,225545
311_web_02_jpg.rf.73e56c1ace41e5b4939372871beb48ef.jpg,TP,8885,600,162400,1935507
74_jpg.rf.133448adda1d567c71a86896659167d0.jpg,TN,0,0,0,450000
315_web_01_jpg.rf.a621f6bc81e7725720bb652e03a2a85c.jpg,FN,0,0,72383,1622609
311_web_03_jpg.rf.20fac22a12318109f66a70c816646b0c.jpg,TP,145379,901,380832,2028792
139_web_01_jpg.rf.0e7a74d01b579bf825ddbbc411ea3f6e.jpg,TP,270478,18600,13072,2491322
2226_2371080_076nopv_jpg.rf.9006cef2360ba44e6e9aec18a4740dfb.jpg,TN,0,0,0,409600
237_web_00_jpg.rf.16a46afdbe362185acc2763fe1bae8e1.jpg,TP,203767,10965,138296,2104572
383_web_02_jpg.rf.ce8b586f6a85927de3033cd990b9bb5f.jpg,TP,88100,18684,123140,929244
78_142728_328nopv_jpg.rf.62eac90f9a0ce6650bf2ef6e9de05647.jpg,TN,0,0,0,409600
161_web_00_jpg.rf.af092d7246707aa7a012c7bfbd276a0d.jpg,TP,50530,8088,3782,537600
28_jpg.rf.069588d812980d1bb02eb43c6b539cdf.jpg,TN,0,0,0,596322
161_web_01_jpg.rf.e1aeeb4188cc1ae4f8975800a7d126b2.jpg,TP,16226,3308,883,143583
300_148212_142nopv_jpg.rf.4a50a14105078e4c42ff7d5980b79bb8.jpg,TN,0,0,0,409600
187_144238_009nopv_jpg.rf.b49266b65fa9a383697606dc1094bc47.jpg,TN,0,0,0,409600
4115_302019126_195nopv_jpg.rf.0e5898b32db5e297d295f65938013716.jpg,TN,0,0,0,409600
2389_2373645_113nopv_jpg.rf.051e3662da298b6ba91f0c46645215c4.jpg,TN,0,0,0,409600
4098_302019081_193nopv_jpg.rf.a85de902b6824289f0bed24c6f0f2ef7.jpg,TN,0,0,0,409600
210_web_02_jpg.rf.f56794da9b92b9cffe4ac15f50c22e40.jpg,TP,23854,159919,357,565870
4316_302019911_233nopv_jpg.rf.4dd68a880eafb33c39383dd2b6ad1f80.jpg,FP,0,9739,0,399861
4224_302019597_217nopv_jpg.rf.b4a801ff86fc2f802a5d15815e9253e0.jpg,TN,0,0,0,409600
308_web_01_jpg.rf.3b21414422c3a78ee9faf60ffefee7d6.jpg,FN,0,0,177500,2615972
308_web_03_jpg.rf.21d95ed214c736a18ab6fd614baceb9a.jpg,TP,51687,1140,241518,2499127
431_153123_234nopv_jpg.rf.ecb49b0d6c7a7c68148500f74b714578.jpg,TN,0,0,0,409600
275_web_03_jpg.rf.daa1255cb6d4f483672e0af61dc5fd00.jpg,TP,0,28378,32225,714837
423_153055_220nopv_jpg.rf.78ce802ac8d324dd4a55f9d7c8c12e53.jpg,TN,0,0,0,409600
322_148730_154nopv_jpg.rf.0c20bdf298d53d1692c96bce7535f28d.jpg,TN,0,0,0,409600
240_web_01_jpg.rf.f5f0d78ac430efe7e349ee214b16a471.jpg,FN,0,0,137280,462720
308_web_02_jpg.rf.dfadbaa8a750803c95e82a5b1e56b73a.jpg,TP,128367,5744,164828,2494533
310_web_01_jpg.rf.81f98d4433d5ef3bb43497ec4870e6c8.jpg,TP,24913,14047,52985,71403
271_web_01_jpg.rf.52ca19775f84c130ee911bd86e604de1.jpg,FN,0,0,141990,591090
367_150283_169nopv_jpg.rf.cba345c597210e221dc44b262a460eb7.jpg,TN,0,0,0,409600
263_gsv_00_jpg.rf.b71a76a1b18442b89148d63c559002f1.jpg,FN,0,0,24503,385097
326_148853_156nopv_jpg.rf.19047dc4876cc006ae8d43903e047bb5.jpg,TN,0,0,0,409600
370_150625_172nopv_jpg.rf.805c132828b141da2d2884422a16fab6.jpg,TN,0,0,0,409600
336_149099_159nopv_jpg.rf.ab27a8aee1a3a361b0f2b541a5a9839a.jpg,TN,0,0,0,409600
263_web_02_jpg.rf.27c8b5e988472de8eb06b7624f0bbb8c.jpg,FN,0,0,24117,134683
275_web_01_jpg.rf.ef978eaa6f278d35d97bde3781eba2b8.jpg,TP,113484,24363,338656,1671849
185_web_00_jpg.rf.40077f9172d1c660c50e41e3ebf5e9ca.jpg,TP,31402,1282,29118,341718
254_gsv_00_jpg.rf.0f3a80ad8bd63490f36c2e3a53377a22.jpg,TP,92275,2944,1768,312613
271_web_02_jpg.rf.0cd9f533b758985329a52f6c9ed69760.jpg,TP,396192,1180,12880,1530508
93_jpg.rf.f70be11a1a6715ae40845ab07e49e5a8.jpg,TN,0,0,0,1465000
271_web_03_jpg.rf.1889ef85b055cf16cb8eb1570c04f922.jpg,TP,105685,8814,118078,1947783
396_151360_181nopv_jpg.rf.b6f906f402ab0a2d9ca9ea4cdea4e68c.jpg,TN,0,0,0,409600
271_web_04_jpg.rf.6cb686f80c8c5b3a373c9062b5f64c0a.jpg,TP,73176,4438,161131,1159693
287_147768_136nopv_jpg.rf.58f1d3dc7980c5d1e96ed8f577e82745.jpg,TN,0,0,0,409600
89_jpg.rf.2e4229a434fc489540a1da7bafca76c7.jpg,TN,0,0,0,50325
383_web_03_jpg.rf.a28a20425b824a965cfe9ac8ce82355b.jpg,TP,172301,5967,22008,486076
4015_302017832_184nopv_jpg.rf.74fd082eeffcf059081cec456e4ffee5.jpg,TN,0,0,0,409600
310_web_99_jpg.rf.a34389678a8933b3e82c1a89f88a2234.jpg,TP,677409,774079,289751,1054281
275_gsv_00_jpg.rf.b28354af6cc4c6c847cd8017c5b158ef.jpg,FN,0,0,26492,383108
392_151337_179nopv_jpg.rf.1ccb05b42f45d348a1f8fe4dbc998a83.jpg,TN,0,0,0,409600
454_153637_267nopv_jpg.rf.9fcddcef67aa6b23c40a37725d62d91f.jpg,TN,0,0,0,409600
311_gsv_00_jpg.rf.7e803dece1e402875279afb234161122.jpg,TP,6914,1917,12992,182481
451_153399_265nopv_jpg.rf.e961f597ab01ad87c628ed56561bd378.jpg,TN,0,0,0,409600
20_jpg.rf.1c673dee0dc2d314644a54d4b194044c.jpg,FP,0,264752,0,1235248
46_jpg.rf.f4163e71c399d370278113750ba977bb.jpg,TN,0,0,0,1458000
401_151818_185nopv_jpg.rf.eee26fb5d279cb568f43a1b6ff53c306.jpg,FP,0,19977,0,389623
060_gsv_00_jpg.rf.a534a7484295281ad0684fe88bb23167.jpg,TP,0,14727,67551,327322
311_web_01_jpg.rf.f3b7a0f748aaf8feecb91d1da1ac3c70.jpg,FN,0,0,161866,1061150
098_gsv_00_jpg.rf.fbd55a0d6a6496bacc825087addce6f7.jpg,TP,41211,1313,1278,365798
090_web_01_jpg.rf.933fcb730db8cb2a6139872f4b509afa.jpg,TP,78066,317535,932,1103467
383_web_04_jpg.rf.3acc7b27c6e23decad64c0dc04a11b88.jpg,TP,10153,0,67015,266224
233_145502_104nopv_jpg.rf.6272b312b8f92ffdd52daee2509a01e9.jpg,TN,0,0,0,409600
2286_2373097_095nopv_jpg.rf.961e8c9f87e4d43ce6dcfbb80e2bf0e4.jpg,TN,0,0,0,409600
2359_2373584_106nopv_jpg.rf.fc687aab861dae88f753c64b35122e37.jpg,FP,0,15606,0,393994
238_gsv_00_jpg.rf.1079a3ecaa9c1654aa573327217d05cc.jpg,FN,0,0,27403,382197
309_148444_147nopv_jpg.rf.77d0acb04124636733442af666c6997f.jpg,TN,0,0,0,409600
2024_174125_021nopv_jpg.rf.9da74b43799b5bff8a8603bf3e23efec.jpg,TN,0,0,0,409600
306_148329_145nopv_jpg.rf.22380d57a9f8b51e8075ca4ce011bb35.jpg,TN,0,0,0,409600
185_gsv_00_jpg.rf.1a923e04646031b95d92f9b2408e6d2c.jpg,TP,87042,9909,29950,282699
237_web_01_jpg.rf.a334823a7ec7668de210f04b3c97d50d.jpg,TP,229026,14187,6430,2207957
240_web_00_jpg.rf.1542f348feb079b0da2c1e2634d2be4b.jpg,TP,9631,1222,9437,38274
161_web_02_jpg.rf.326231c4f0c5a5db098153fb4a55a456.jpg,TP,4726,8212,1494,150568
0_jpg.rf.e7fb12646e7f85bb25dbc8c4852d30a9.jpg,FP,0,71494,0,1408506
2188_2369470_066nopv_jpg.rf.9b105c4f880c353d6857655f4bbfaca7.jpg,TN,0,0,0,409600
014_gsv_00_jpg.rf.77ba19eafadda66e595e6e5e2d034b95.jpg,TP,14408,134,7556,387502
2034_174247_026nopv_jpg.rf.7fa0f3a5deb170a5e992fd1ca21f7107.jpg,TN,0,0,0,409600
102_jpg.rf.58a2478ef87c25f79f1f00abcbca40a6.jpg,TN,0,0,0,1373000
035_web_00_jpg.rf.d74c7e9b8b50701addc672ab754baed2.jpg,TP,15456,23237,2900,316844
021_web_00_jpg.rf.b99a633673138ed4ecebeb45876c15eb.jpg,TP,5461,372,44798,409027
210_web_01_jpg.rf.98cf053f149af2afae9034ff58091268.jpg,TP,3053,25136,255829,2173582
223_web_00_jpg.rf.ebb51d7919481a6811fa31c3ef8f7a10.jpg,FN,0,0,22408,77566
098_web_00_jpg.rf.63db886993e593ff73843a3dd23dab7a.jpg,TP,22278,1200,587,194381
