image_id,det_category,img_precision,img_recall,img_f1,img_iou,tp_pixels,fp_pixels,fn_pixels,tn_pixels
046_web_01_jpg.rf.c03b8ff47c62cd5c623fc35826646363.jpg,TP,0.6489189070654796,0.9392496667301466,0.7675468174508482,0.6227796952605438,14796,8005,957,179705
046_web_00_jpg.rf.dc7d61c7def63d41e96767a8b20e137d.jpg,TP,0.6405066654856283,0.46229581561870664,0.5370019679922766,0.3670558375634518,14462,8117,16821,90114
008_web_01_jpg.rf.a03925dc38379e0b6bf58741aa2104b2.jpg,FN,,0.0,,0.0,0,0,28963,72037
111_jpg.rf.f482e3100c3fea4cf8d071f2efa16f2c.jpg,TN,,,,,0,0,0,741376
008_web_00_jpg.rf.21b6147c5aa8fffe510612aafa96e058.jpg,TP,0.0005701254275940707,3.191727043503239e-05,6.0450355145836485e-05,3.0226091161890945e-05,2,3506,62660,533832
173_144070_006nopv_jpg.rf.5294ec9add204b69b524bac6eccdb28d.jpg,TN,,,,,0,0,0,409600
115_jpg.rf.3304cdab0e8326a64cdd8113aad285d2.jpg,TN,,,,,0,0,0,1499000
4297_302019902_228nopv_jpg.rf.8a0e722b88502c6edfb78f044fa6ba33.jpg,TN,,,,,0,0,0,409600
4292_302019811_227nopv_jpg.rf.d68d25b855efee6e3e45aa4e4b98f0f0.jpg,TN,,,,,0,0,0,409600
017_gsv_00_jpg.rf.b56c5d8dfb3d470e72d5bc0b2782b698.jpg,TP,0.9992428895904462,0.8562754771027408,0.9222513744775667,0.8557202975141907,69950,53,11741,327856
293_web_02_jpg.rf.cbcaf2db7b5df017729cdd59f080a77f.jpg,TP,0.9299569567890883,0.983188717259906,0.955832271274262,0.9154010844988695,182996,13783,3129,611292
075_web_00_jpg.rf.fbb8226ac67add1883e9cfdcb26f5a21.jpg,FN,,0.0,,0.0,0,0,43154,447826
022_gsv_00_jpg.rf.d77e40ae05c9ae391c52f6e8824a891a.jpg,TP,0.8781220934189333,0.8923635525329953,0.8851855451442684,0.7940205128205128,77417,10745,9338,312100
278_gsv_00_jpg.rf.5ebe4f4421628e9264d37e7796c025d6.jpg,TP,0.8789754098360656,0.37554501041867305,0.5262486351200482,0.35708101628317407,21447,2953,35662,349538
4249_302019666_221nopv_jpg.rf.69980b2f783ad9750afea0fab093eb31.jpg,TN,,,,,0,0,0,409600
124_jpg.rf.d357a191594aeaca5c5752a48104ff14.jpg,TN,,,,,0,0,0,418176
4043_302017895_188nopv_jpg.rf.d218a62f4394203e1f8613d131357ca9.jpg,TN,,,,,0,0,0,409600
278_web_01_jpg.rf.d3fae5cac3a8a8dd4e881414a5ef85d5.jpg,FN,,0.0,,0.0,0,0,172813,1974497
293_web_01_jpg.rf.d1705d1d42d7ba5045ae3398aa955c4c.jpg,TP,0.9568791023482672,0.9747588941124943,0.965736248006447,0.933742719054962,342734,15445,8875,592946
2185_2369309_065nopv_jpg.rf.7cfdb8502d9782030787c433d1633c11.jpg,TN,,,,,0,0,0,409600
293_gsv_00_jpg.rf.eb38cf6e35f6a5ea2d0df6d18e0f305c.jpg,TP,0.9440542745160456,0.8475057600600118,0.8931784813462335,0.806976071835513,47451,2812,8538,350799
4208_302019522_212nopv_jpg.rf.e60627b6f51cd17354e93f285a3dbc14.jpg,TN,,,,,0,0,0,409600
399_web_02_jpg.rf.0876c37d10ece63d35d8859431d9523b.jpg,FN,,0.0,,0.0,0,0,87596,2768164
6109_302034278_294nopv_jpg.rf.c6a701ba006639513bc5f9cc05280ed2.jpg,TN,,,,,0,0,0,409600
2195_2369569_068nopv_jpg.rf.12014e5ff04bad5bc71b7986dc9b4c6e.jpg,FP,0.0,,,0.0,0,2590,0,407010
71_jpg.rf.265d68f4c40c1bb0ded1313a0aa530a8.jpg,TN,,,,,0,0,0,4167500
9_jpg.rf.4c779617a46461e47f503b04ab9097c6.jpg,TN,,,,,0,0,0,409600
399_web_01_jpg.rf.b6f77cb2d25913843b20a2cd2f992770.jpg,FN,,0.0,,0.0,0,0,130930,2742350
152_web_01_jpg.rf.be59cb251c869efb13df88ef2f00e40d.jpg,TP,0.5018655919946039,0.9762331838565023,0.6629297753917816,0.49580774681152573,58779,58342,1431,89282
234_145513_105nopv_jpg.rf.b7c33771c411876432e30b3407e5d73c.jpg,TN,,,,,0,0,0,409600
245_web_00_jpg.rf.dce7c4a4203cefd185daa2113b5ff619.jpg,TP,0.9339642750564864,0.8759521001179504,0.9040284726878838,0.8248649259210452,43816,3098,6205,304301
160_web_00_jpg.rf.33dd3de439434b6b1d7c0800fc3326b9.jpg,TP,0.9599406528189911,0.16408825767182347,0.2802685726662335,0.16297229219143577,2588,108,13184,143321
296_148077_139nopv_jpg.rf.0fd7d3d9308828d641ac4ede7cb098d0.jpg,TN,,,,,0,0,0,409600
44_jpg.rf.fab2f40e760c0f2d52593b15529e2030.jpg,FP,0.0,,,0.0,0,339763,0,1160237
142_web_02_jpg.rf.890983b4e272e6424565ed88f089f520.jpg,FN,,0.0,,0.0,0,0,246827,1673173
51_jpg.rf.b39b821bb1ec550cc1ae3c3826e94de6.jpg,TN,,,,,0,0,0,404820
8262_302064783_348nopv_jpg.rf.d9837bbbd7bdd35965bb77b361566786.jpg,TN,,,,,0,0,0,409600
2365_2373593_108nopv_jpg.rf.0043223610c86d6bb3c02052088b24dc.jpg,TN,,,,,0,0,0,409600
8483_302065407_364nopv_jpg.rf.f419f819321a7df6350c8b8953f2ceeb.jpg,TN,,,,,0,0,0,409600
53_141636_278nopv_jpg.rf.d0349eec5e16eb1e89f2a16dd005e9d2.jpg,TN,,,,,0,0,0,409600
