core_id,gt_filename,pr_filename,tp_green,fp_orange,fn_red,tn_black,total_pixels
322_148730_154nopv,047_322_148730_154nopv.jpg,322_148730_154nopv_jpg.rf.0c20bdf298d53d1692c96bce7535f28d.png,0,0,0,409600,409600
240_web_01,048_240_web_01.jpg,240_web_01_jpg.rf.f5f0d78ac430efe7e349ee214b16a471.png,89700,29358,3853,286689,409600
308_web_02,049_308_web_02.jpg,308_web_02_jpg.rf.dfadbaa8a750803c95e82a5b1e56b73a.png,42843,23231,148,343378,409600
310_web_01,050_310_web_01.jpg,310_web_01_jpg.rf.81f98d4433d5ef3bb43497ec4870e6c8.png,196052,113564,98,99886,409600
271_web_01,051_271_web_01.jpg,271_web_01_jpg.rf.52ca19775f84c130ee911bd86e604de1.png,62453,10009,16960,320178,409600
367_150283_169nopv,052_367_150283_169nopv.jpg,367_150283_169nopv_jpg.rf.cba345c597210e221dc44b262a460eb7.png,0,0,0,409600,409600
263_gsv_00,053_263_gsv_00.jpg,263_gsv_00_jpg.rf.b71a76a1b18442b89148d63c559002f1.png,9970,69371,14533,315726,409600
326_148853_156nopv,054_326_148853_156nopv.jpg,326_148853_156nopv_jpg.rf.19047dc4876cc006ae8d43903e047bb5.png,0,0,0,409600,409600
370_150625_172nopv,055_370_150625_172nopv.jpg,370_150625_172nopv_jpg.rf.805c132828b141da2d2884422a16fab6.png,0,0,0,409600,409600
336_149099_159nopv,056_336_149099_159nopv.jpg,336_149099_159nopv_jpg.rf.ab27a8aee1a3a361b0f2b541a5a9839a.png,0,0,0,409600,409600
263_web_02,057_263_web_02.jpg,263_web_02_jpg.rf.27c8b5e988472de8eb06b7624f0bbb8c.png,61617,44785,574,302624,409600
275_web_01,058_275_web_01.jpg,275_web_01_jpg.rf.ef978eaa6f278d35d97bde3781eba2b8.png,86205,37818,25,285552,409600
185_web_00,059_185_web_00.jpg,185_web_00_jpg.rf.40077f9172d1c660c50e41e3ebf5e9ca.png,59070,21740,2334,326456,409600
254_gsv_00,060_254_gsv_00.jpg,254_gsv_00_jpg.rf.0f3a80ad8bd63490f36c2e3a53377a22.png,93948,8626,95,306931,409600
271_web_02,061_271_web_02.jpg,271_web_02_jpg.rf.0cd9f533b758985329a52f6c9ed69760.png,86324,7736,0,315540,409600
93,062_93.jpg,93_jpg.rf.f70be11a1a6715ae40845ab07e49e5a8.png,0,776,0,408824,409600
271_web_03,063_271_web_03.jpg,271_web_03_jpg.rf.1889ef85b055cf16cb8eb1570c04f922.png,41893,7751,199,359757,409600
396_151360_181nopv,064_396_151360_181nopv.jpg,396_151360_181nopv_jpg.rf.b6f906f402ab0a2d9ca9ea4cdea4e68c.png,0,0,0,409600,409600
271_web_04,065_271_web_04.jpg,271_web_04_jpg.rf.6cb686f80c8c5b3a373c9062b5f64c0a.png,68217,36133,368,304882,409600
287_147768_136nopv,066_287_147768_136nopv.jpg,287_147768_136nopv_jpg.rf.58f1d3dc7980c5d1e96ed8f577e82745.png,0,0,0,409600,409600
89,067_89.jpg,89_jpg.rf.2e4229a434fc489540a1da7bafca76c7.png,0,0,0,409600,409600
383_web_03,068_383_web_03.jpg,383_web_03_jpg.rf.a28a20425b824a965cfe9ac8ce82355b.png,114901,71673,1160,221866,409600
4015_302017832_184nopv,069_4015_302017832_184nopv.jpg,4015_302017832_184nopv_jpg.rf.74fd082eeffcf059081cec456e4ffee5.png,0,0,0,409600,409600
310_web_99,070_310_web_99.jpg,310_web_99_jpg.rf.a34389678a8933b3e82c1a89f88a2234.png,141713,101244,0,166643,409600
275_gsv_00,071_275_gsv_00.jpg,275_gsv_00_jpg.rf.b28354af6cc4c6c847cd8017c5b158ef.png,8084,9552,18408,373556,409600
392_151337_179nopv,072_392_151337_179nopv.jpg,392_151337_179nopv_jpg.rf.1ccb05b42f45d348a1f8fe4dbc998a83.png,0,0,0,409600,409600
454_153637_267nopv,073_454_153637_267nopv.jpg,454_153637_267nopv_jpg.rf.9fcddcef67aa6b23c40a37725d62d91f.png,0,0,0,409600,409600
311_gsv_00,074_311_gsv_00.jpg,311_gsv_00_jpg.rf.7e803dece1e402875279afb234161122.png,39564,30488,576,338972,409600
451_153399_265nopv,075_451_153399_265nopv.jpg,451_153399_265nopv_jpg.rf.e961f597ab01ad87c628ed56561bd378.png,0,3288,0,406312,409600
20,076_20.jpg,20_jpg.rf.1c673dee0dc2d314644a54d4b194044c.png,0,297514,0,112086,409600
46,077_46.jpg,46_jpg.rf.f4163e71c399d370278113750ba977bb.png,0,41876,0,367724,409600
