core_id,gt_filename,pr_filename,tp_green,fp_orange,fn_red,tn_black,total_pixels
152_web_00,053_152_web_00.jpg,152_web_00_jpg.rf.ece9d4ae5ab69e559f53b9c8f81592ab.png,54572,5394,50731,298903,409600
082_web_01,054_082_web_01.jpg,082_web_01_jpg.rf.198ee1dfd3a9377a0bfb3194246a8388.png,131182,2599,85658,190161,409600
145_gsv_00,055_145_gsv_00.jpg,145_gsv_00_jpg.rf.c3af6c936916944f23f404d17048fff7.png,7744,103941,76904,221011,409600
082_web_02,056_082_web_02.jpg,082_web_02_jpg.rf.f3fd4a40d2e33af24357a2a269512138.png,225477,7525,22470,154128,409600
2119_2365688_043nopv,057_2119_2365688_043nopv.jpg,2119_2365688_043nopv_jpg.rf.1a4d053b103e4ab5ddeb867cde931565.png,0,0,0,409600,409600
145_web_01,058_145_web_01.jpg,145_web_01_jpg.rf.7b25f19b40f5241f3609c425df107bda.png,24375,969,9782,374474,409600
111_gsv_00,059_111_gsv_00.jpg,111_gsv_00_jpg.rf.1f081edecbf1d7fbc0318cd1192322a8.png,91994,26431,1045,290130,409600
2006_173954_014nopv,060_2006_173954_014nopv.jpg,2006_173954_014nopv_jpg.rf.a89af1b60c05e08b0bb9846891f93cb5.png,0,0,0,409600,409600
304_web_03,061_304_web_03.jpg,304_web_03_jpg.rf.3f3924724ba8b2f25c30d1dd45a65933.png,65961,5513,0,338126,409600
089_gsv_00,062_089_gsv_00.jpg,089_gsv_00_jpg.rf.d19ec0ff0339fdc735b916c3e339469e.png,23773,15567,6054,364206,409600
2149_2366920_054nopv,063_2149_2366920_054nopv.jpg,2149_2366920_054nopv_jpg.rf.606e99af73dedc8996d11616af8f6e1d.png,0,0,0,409600,409600
034_web_00,064_034_web_00.jpg,034_web_00_jpg.rf.9712f8cbf74817f5f60beb56abf121d7.png,0,0,36238,373362,409600
150_143694_002nopv,065_150_143694_002nopv.jpg,150_143694_002nopv_jpg.rf.3822a50d20c6bc2cff6c6080b10d82e1.png,0,0,0,409600,409600
2128_2365846_046nopv,066_2128_2365846_046nopv.jpg,2128_2365846_046nopv_jpg.rf.de15ea62e2c22cf8a37f58a6c8008cbd.png,0,0,0,409600,409600
304_web_01,067_304_web_01.jpg,304_web_01_jpg.rf.e9fb7ab1e884e565bc9565dc1341163e.png,40018,1308,5281,362993,409600
304_web_02,068_304_web_02.jpg,304_web_02_jpg.rf.185be7a95834497ec85cf72321fdd1e9.png,52673,1048,226,355653,409600
089_web_01,069_089_web_01.jpg,089_web_01_jpg.rf.bc6a217ea6c5e05a7d7ef963a7ac4d70.png,46847,5634,11908,345211,409600
2126_2365806_045nopv,070_2126_2365806_045nopv.jpg,2126_2365806_045nopv_jpg.rf.99e46d8b019a3f4cd063e8d3bef572ce.png,0,0,0,409600,409600
6004_302033862_279nopv,071_6004_302033862_279nopv.jpg,6004_302033862_279nopv_jpg.rf.154f20826d671ac61d5d9c53c7369772.png,0,0,0,409600,409600
089_web_00,072_089_web_00.jpg,089_web_00_jpg.rf.60ff97501fd1fd5bc5c8f1b8374e54bf.png,8226,14815,14461,372098,409600
116_gsv_00,073_116_gsv_00.jpg,116_gsv_00_jpg.rf.fd7fa499aa27f3a784fcec5f235ea84a.png,36858,1558,11338,359846,409600
321_148730_153nopv,074_321_148730_153nopv.jpg,321_148730_153nopv_jpg.rf.0d8a83fdea4fb904ce0d20955f348938.png,0,0,0,409600,409600
226_web_00,075_226_web_00.jpg,226_web_00_jpg.rf.cdca6da914109fa83dff33f5bdf6fcb7.png,43980,4059,2488,359073,409600
333_gsv_00,076_333_gsv_00.jpg,333_gsv_00_jpg.rf.0ddfd78ea6cdde9a921a79d1031abdbf.png,13343,120256,0,276001,409600
327_148856_157nopv,077_327_148856_157nopv.jpg,327_148856_157nopv_jpg.rf.5a73715039a6a1d1b7ac107eca751f27.png,0,0,0,409600,409600
56,078_56.jpg,56_jpg.rf.f71ace57c8d83f1b16262910ef0aaba1.png,0,121579,0,288021,409600
389_gsv_00,079_389_gsv_00.jpg,389_gsv_00_jpg.rf.40d7f8723594d05cacb93eeee901f24b.png,1528,3,36387,371682,409600
6444_302049192_322nopv,080_6444_302049192_322nopv.jpg,6444_302049192_322nopv_jpg.rf.8eece58a488d4a3cf5d6bb29760e4904.png,0,0,0,409600,409600
97_143075_367nopv,081_97_143075_367nopv.jpg,97_143075_367nopv_jpg.rf.b2f0a2423fcfce5e6647cde12e0190d0.png,0,0,0,409600,409600
310_148452_148nopv,082_310_148452_148nopv.jpg,310_148452_148nopv_jpg.rf.109447d62a691d6047b63bc5a95e3d8a.png,0,0,0,409600,409600
6149_302034507_299nopv,083_6149_302034507_299nopv.jpg,6149_302034507_299nopv_jpg.rf.76eda4c283003b866c821fb9afc3fcd2.png,0,0,0,409600,409600
386_web_03,084_386_web_03.jpg,386_web_03_jpg.rf.a34808449a49f0050fa22364be29d5c0.png,85304,35124,118970,170202,409600
6135_302034450_297nopv,085_6135_302034450_297nopv.jpg,6135_302034450_297nopv_jpg.rf.d1da7e10993c0fb8f16d011b5e655f93.png,0,0,0,409600,409600
386_web_02,086_386_web_02.jpg,386_web_02_jpg.rf.9ffde18505c754f423123cf135d25833.png,205614,573,81140,122273,409600
4,087_4.jpg,4_jpg.rf.95330e06a886fbc344b244b1e90fddeb.png,0,0,0,409600,409600
333_web_01,088_333_web_01.jpg,333_web_01_jpg.rf.c209f47ab887a69a26a4c7dc427e70ca.png,133633,68734,260,206973,409600
25_141079_132nopv,089_25_141079_132nopv.jpg,25_141079_132nopv_jpg.rf.112dfdcf378a6894044d9580bd52a18c.png,0,0,0,409600,409600
365_150227_168nopv,090_365_150227_168nopv.jpg,365_150227_168nopv_jpg.rf.1ca1aa9a4855752e4cf6549ed2f1587e.png,0,0,0,409600,409600
4387_302020121_243nopv,091_4387_302020121_243nopv.jpg,4387_302020121_243nopv_jpg.rf.7642d5d7b6370471ea2e4dfc83aa8e3d.png,0,0,0,409600,409600
4315_302019911_232nopv,092_4315_302019911_232nopv.jpg,4315_302019911_232nopv_jpg.rf.0c7cb29a3a81972aed7817fcebe8df51.png,0,0,0,409600,409600
280_web_02,093_280_web_02.jpg,280_web_02_jpg.rf.f3ea972697ea60129e2d928d4f2132ac.png,42563,2227,10098,354712,409600
6022_302034016_281nopv,094_6022_302034016_281nopv.jpg,6022_302034016_281nopv_jpg.rf.4a12ed6af93dcbdc23085cfa6f0721bc.png,0,0,0,409600,409600
6293_302040354_312nopv,095_6293_302040354_312nopv.jpg,6293_302040354_312nopv_jpg.rf.6147f9689a9cadeeae340e2badf297b7.png,0,0,0,409600,409600
2064_175543_034nopv,096_2064_175543_034nopv.jpg,2064_175543_034nopv_jpg.rf.f1e9452cebf0c2d9cccfb19de54b7824.png,0,0,0,409600,409600
280_web_03,097_280_web_03.jpg,280_web_03_jpg.rf.09cbd110e2f8e4a8b39b7e8f09a6a504.png,83247,64322,32,261999,409600
280_gsv_00,098_280_gsv_00.jpg,280_gsv_00_jpg.rf.731ca7c779b229be7c5528fd2aa5287b.png,0,0,16229,393371,409600
280_web_01,099_280_web_01.jpg,280_web_01_jpg.rf.739b663f0e083d274c35adb5c1d92ca3.png,33716,1901,12387,361596,409600
4098_302019081_193nopv,100_4098_302019081_193nopv.jpg,4098_302019081_193nopv_jpg.rf.a85de902b6824289f0bed24c6f0f2ef7.png,0,0,0,409600,409600
2129_2365963_047nopv,101_2129_2365963_047nopv.jpg,2129_2365963_047nopv_jpg.rf.39abe3e7ce556a218b82d6810869dfa8.png,0,0,0,409600,409600
233_145502_104nopv,102_233_145502_104nopv.jpg,233_145502_104nopv_jpg.rf.6272b312b8f92ffdd52daee2509a01e9.png,0,0,0,409600,409600
223_web_00,103_223_web_00.jpg,223_web_00_jpg.rf.ebb51d7919481a6811fa31c3ef8f7a10.png,84199,17422,7543,300436,409600
